[INFO 2018-09-25 00:25:19,013 tanks 27736 140286782453504] Initialization coffee beans tank
[INFO 2018-09-25 00:26:09,641 tank 27770 139806511138560] Coffee beans tank is refill
[INFO 2018-09-25 00:26:09,643 tanks 27770 139806511138560] Initialization coffee beans tank
[INFO 2018-09-25 00:26:09,643 tank 27770 139806511138560] Water tank is refill
[INFO 2018-09-25 00:26:09,644 tanks 27770 139806511138560] Initialization coffee beans tank
[INFO 2018-09-25 00:26:16,242 coffee_machine 27770 139806511138560] Starting making AMERICANO
[INFO 2018-09-25 00:26:39,074 tank 27824 140372415715072] Coffee beans tank is refill
[INFO 2018-09-25 00:26:39,075 tanks 27824 140372415715072] Initialization coffee beans tank
[INFO 2018-09-25 00:26:39,075 tank 27824 140372415715072] Water tank is refill
[INFO 2018-09-25 00:26:39,075 tanks 27824 140372415715072] Initialization coffee beans tank
[INFO 2018-09-25 00:26:46,994 coffee_machine 27824 140372415715072] Starting making AMERICANO
[INFO 2018-09-25 00:27:05,268 tank 27851 139915335362304] Coffee beans tank is refill
[INFO 2018-09-25 00:27:05,269 tanks 27851 139915335362304] Initialization coffee beans tank
[INFO 2018-09-25 00:27:05,269 tank 27851 139915335362304] Water tank is refill
[INFO 2018-09-25 00:27:05,269 tanks 27851 139915335362304] Initialization coffee beans tank
[INFO 2018-09-25 00:27:52,621 coffee_machine 27851 139915335362304] Starting making DOPPIO
[INFO 2018-09-25 00:28:04,283 tank 27912 140677585880832] Coffee beans tank is refill
[INFO 2018-09-25 00:28:04,284 tanks 27912 140677585880832] Initialization coffee beans tank
[INFO 2018-09-25 00:28:04,284 tank 27912 140677585880832] Water tank is refill
[INFO 2018-09-25 00:28:04,285 tanks 27912 140677585880832] Initialization coffee beans tank
[INFO 2018-09-25 00:28:06,733 coffee_machine 27912 140677585880832] Starting making AMERICANO
[INFO 2018-09-25 00:28:30,038 tank 27933 139657214146304] Coffee beans tank is refill
[INFO 2018-09-25 00:28:30,039 tanks 27933 139657214146304] Initialization coffee beans tank
[INFO 2018-09-25 00:28:30,040 tank 27933 139657214146304] Water tank is refill
[INFO 2018-09-25 00:28:30,040 tanks 27933 139657214146304] Initialization coffee beans tank
[INFO 2018-09-25 00:28:49,757 tank 27950 139833577006848] Coffee beans tank is refill
